date	symbol	reportedCurrency	cik	fillingDate	acceptedDate	calendarYear	period	revenue	costOfRevenue	grossProfit	grossProfitRatio	researchAndDevelopmentExpenses	generalAndAdministrativeExpenses	sellingAndMarketingExpenses	sellingGeneralAndAdministrativeExpenses	otherExpenses	operatingExpenses	costAndExpenses	interestIncome	interestExpense	depreciationAndAmortization	ebitda	ebitdaratio	operatingIncome	operatingIncomeRatio	totalOtherIncomeExpensesNet	incomeBeforeTax	incomeBeforeTaxRatio	incomeTaxExpense	netIncome	netIncomeRatio	eps	epsdiluted	weightedAverageShsOut	weightedAverageShsOutDil	link	finalLink
1985-09-30	AAPL	USD	0000320193	1985-09-30	1985-09-30	1985	Q4	409700000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1361300000	-3.32268	-1361300000.0	-3.32268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13837824000	13837824000		
1985-12-31	AAPL	USD	0000320193	1985-12-31	1985-12-31	1986	Q1	533900000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	533900000	1.0	533900000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00411	0.00411	13837824000	13837824000		
1986-03-31	AAPL	USD	0000320193	1986-03-31	1986-03-31	1986	Q2	408900000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	408900000	1.0	408900000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00232	0.00232	14033600000	14033600000		
1986-06-30	AAPL	USD	0000320193	1986-06-30	1986-06-30	1986	Q3	448300000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	448300000	1.0	448300000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00232	0.00232	14260064000	14260064000		
1986-09-30	AAPL	USD	0000320193	1986-09-30	1986-09-30	1986	Q4	510800000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1117600000	-2.18794	-1117600000.0	-2.18794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14260064000	14260064000		
1986-12-31	AAPL	USD	0000320193	1986-12-31	1986-12-31	1987	Q1	662300000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	662300000	1.0	662300000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00411	0.00411	14260064000	14260064000		
1987-03-31	AAPL	USD	0000320193	1987-03-31	1987-03-31	1987	Q2	575300000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	575300000	1.0	575300000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00232	0.00232	14028672000	14028672000		
1987-06-30	AAPL	USD	0000320193	1987-06-30	1987-06-30	1987	Q3	637100000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	637100000	1.0	637100000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00357	0.00357	14028672000	14028672000		
1987-09-30	AAPL	USD	0000320193	1987-09-30	1987-09-30	1987	Q4	786500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1503100000	-1.91113	-1503100000.0	-1.91113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14063280000	14063280000		
1987-12-31	AAPL	USD	0000320193	1987-12-31	1987-12-31	1988	Q1	1042400000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1042400000	1.0	1042400000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00821	0.00821	14063280000	14063280000		
1988-03-31	AAPL	USD	0000320193	1988-03-31	1988-03-31	1988	Q2	867200000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	867200000	1.0	867200000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00554	0.00554	13946352000	13946352000		
1988-06-30	AAPL	USD	0000320193	1988-06-30	1988-06-30	1988	Q3	993100000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	993100000	1.0	993100000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00643	0.00643	14622720000	14622720000		
1988-09-30	AAPL	USD	0000320193	1988-09-30	1988-09-30	1988	Q4	1168700000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2282400000	-1.95294	-2282400000.0	-1.95294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14285264000	14285264000		
1988-12-31	AAPL	USD	0000320193	1988-12-31	1988-12-31	1989	Q1	1405100000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1405100000	1.0	1405100000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00982	0.00982	14285264000	14285264000		
1989-03-31	AAPL	USD	0000320193	1989-03-31	1989-03-31	1989	Q2	1246900000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1246900000	1.0	1246900000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00393	0.00393	14307664000	14307664000		
1989-06-30	AAPL	USD	0000320193	1989-06-30	1989-06-30	1989	Q3	1248200000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1248200000	1.0	1248200000.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00661	0.00661	13889792000	13889792000		
1989-09-30	AAPL	USD	0000320193	1989-09-30	1989-09-30	1989	Q4	1383700000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3266000000	-2.36034	-3266000000.0	-2.36034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14560000000	14560000000		
1989-12-31	AAPL	USD	0000320193	1989-12-31	1989-12-31	1990	Q1	1493400000	668500000.0	824900000.0	0.55236	0.0	0.0	0.0	587100000.0	47800000.0	634900000.0	1303400000.0	0.0	0.0	47800000.0	252400000	0.16901	190000000.0	0.12723	14600000.0	204600000.0	0.137	79800000.0	124800000.0	0.08357	0.00857	0.00857	14560000000	14560000000		
1990-03-31	AAPL	USD	0000320193	1990-03-31	1990-03-31	1990	Q2	1346200000	565300000.0	780900000.0	0.58008	0.0	0.0	0.0	537400000.0	44300000.0	581700000.0	1147000000.0	0.0	0.0	44200000.0	260300000	0.19336	199200000.0	0.14797	16900000.0	216100000.0	0.16053	84300000.0	131800000.0	0.09791	0.00929	0.00929	14193846154	14193846154		
1990-06-30	AAPL	USD	0000320193	1990-06-30	1990-06-30	1990	Q3	1364800000	578300000.0	786500000.0	0.57627	0.0	0.0	0.0	554300000.0	49900000.0	604200000.0	1182500000.0	0.0	0.0	49900000.0	246300000	0.18047	182300000.0	0.13357	14100000.0	196400000.0	0.1439	76600000.0	119800000.0	0.08778	0.00857	0.00857	13976666667	13976666667		
1990-09-30	AAPL	USD	0000320193	1990-09-30	1990-09-30	1990	Q4	1354100000	591400000.0	762700000.0	0.56325	0.0	0.0	0.0	561300000.0	60800000.0	622100000.0	1213500000.0	0.0	0.0	60800000.0	222200000	0.16409	140600000.0	0.10383	20800000.0	161400000.0	0.11919	62900000.0	98500000.0	0.07274	0.0075	0.0075	13168750000	13168750000		
1990-12-31	AAPL	USD	0000320193	1990-12-31	1990-12-31	1991	Q1	1675500000	767700000.0	907800000.0	0.54181	0.0	0.0	0.0	632300000.0	47100000.0	679400000.0	1447100000.0	0.0	0.0	47100000.0	289800000	0.17296	228400000.0	0.13632	14300000.0	242700000.0	0.14485	92200000.0	150500000.0	0.08982	0.01143	0.01143	13168750000	13168750000		
