"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.401,18.876,20.136,0,0,0
Albania,1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.161,18.31,18.256,18.842
Algeria,42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.332,103.198,117.027,134.977,171.001,137.211,161.207,200.02,209.059,209.755,213.81,165.979,160.034,170.207,175.372,171.68,144.922,162.711,187.155,190.254
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429,1.547,1.758,2.362,2.896,3.158,3.456,3.952,4.082,3.675,3.446,3.625,3.189,3.193,3.267,2.789,2.895,2.993,3.217,3.155,2.885,3.33,3.302,3.36
Angola,6.639,6.214,6.214,6.476,6.864,8.457,7.918,9.05,9.818,11.421,12.571,12.186,9.395,6.819,4.965,6.197,7.994,9.388,7.958,7.526,11.166,10.93,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.022,101.353,84.516,58.125,75.179,124.794,135.558
Antigua and Barbuda,0.131,0.148,0.164,0.182,0.208,0.241,0.29,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.826,0.8,0.814,0.856,0.92,1.023,1.158,1.313,1.37,1.228,1.149,1.138,1.2,1.181,1.25,1.337,1.437,1.468,1.606,1.688,1.37,1.471,1.692,1.867
Argentina,233.696,189.802,94.25,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,451.815,389.064,486.702,630.698,643.797
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.619,12.641,13.928,17.693,19.46
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.321,1.38,1.532,1.665,1.723,1.873,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.202,3.369,2.61,3.126,3.499,3.676
Australia,162.821,188.29,186.93,179.364,197.011,174.274,181.362,212.964,270.916,308.103,323.815,324.231,317.903,309.156,353.15,378.853,424.41,426.168,381.122,411.455,399.65,377.526,425.115,540.95,658.379,735.633,782.398,949.037,1055.936,999.994,1253.606,1514.658,1569.221,1518.966,1456.432,1233.112,1263.833,1381.986,1416.818,1386.697,1357.639,1635.255,1724.787,1787.948
