2022	0	330_929	345_538	676_467
2021	1	343_026	357_351	700_377
2020	2	341_042	356_678	697_720
2019	3	351_707	368_670	720_377
2018	4	356_873	376_705	733_578
2017	5	366_538	382_762	749_300
2016	6	377_726	394_679	772_405
2015	7	388_256	407_067	795_323
2014	8	402_149	417_528	819_677
2013	9	404_450	422_473	826_923
2012	10	410_103	432_223	842_326
2011	11	413_317	433_203	846_520
2010	12	424_529	445_511	870_040
2009	13	419_008	440_783	859_791
2008	14	420_554	444_448	865_002
2007	15	419_925	440_752	860_677
2006	16	423_157	447_090	870_247
2005	17	413_489	437_659	851_148
2004	18	406_838	432_885	839_723
2003	19	399_346	422_821	822_167
2002	20	396_836	418_660	815_496
2001	21	395_152	418_256	813_408
2000	22	399_322	421_152	820_474
1999	23	376_314	389_580	765_894
1998	24	376_420	382_554	758_974
1997	25	369_379	374_512	743_891
1996	26	374_287	374_366	748_653
1995	27	375_987	372_252	748_239
1994	28	372_462	362_967	735_429
1993	29	375_228	367_127	742_355
1992	30	395_137	383_535	778_672
1991	31	402_304	390_496	792_800
1990	32	413_380	402_198	815_578
1989	33	419_725	400_620	820_345
1988	34	428_232	405_642	833_874
1987	35	429_765	403_630	833_395
1986	36	436_039	409_529	845_568
1985	37	436_180	407_776	843_956
1984	38	429_907	404_828	834_735
1983	39	422_931	399_376	822_307
1982	40	446_946	425_275	872_221
1981	41	449_043	427_052	876_095
1980	42	455_337	432_659	887_996
1979	43	428_335	409_645	837_980
1978	44	418_005	402_427	820_432
1977	45	416_080	404_238	820_318
1976	46	404_733	393_123	797_856
1975	47	416_726	406_790	823_516
1974	48	436_700	427_666	864_366
1973	49	459_061	445_647	904_708
1972	50	468_092	457_790	925_882
1971	51	464_859	454_831	919_690
1970	52	454_624	442_538	897_162
1969	53	450_429	434_516	884_945
1968	54	445_982	426_911	872_893
1967	55	443_201	426_371	869_572
1966	56	456_200	435_374	891_574
1965	57	458_021	434_732	892_753
1964	58	463_713	436_775	900_488
1963	59	458_019	427_867	885_886
1962	60	441_677	411_946	853_623
1961	61	440_838	409_935	850_773
1960	62	440_031	404_615	844_646
1959	63	437_495	399_222	836_717
1958	64	427_408	385_431	812_839
1957	65	425_143	380_771	805_914
1956	66	421_921	372_735	794_656
1955	67	417_746	364_324	782_070
1954	68	412_362	360_581	772_943
1953	69	402_938	350_286	753_224
1952	70	408_892	351_245	760_137
1951	71	395_165	339_003	734_168
1950	72	406_186	347_191	753_377
1949	73	397_980	334_869	732_849
1948	74	393_918	330_809	724_727
1947	75	382_802	318_941	701_743
1946	76	360_229	294_509	654_738
1945	77	270_554	215_908	486_462
1944	78	260_729	205_234	465_963
1943	79	251_396	194_632	446_028
1942	80	229_671	175_016	404_687
1941	81	201_481	149_738	351_219
1940	82	205_289	149_241	354_530
1939	83	213_155	145_977	359_132
1938	84	201_331	134_533	335_864
1937	85	193_010	122_661	315_671
1936	86	185_617	113_163	298_780
1935	87	173_069	96_916	269_985
1934	88	163_504	87_182	250_686
1933	89	144_334	72_742	217_076
1932	90	136_362	63_495	199_857
1931	91	117_375	51_502	168_877
1930	92	101_803	40_794	142_597
1929	93	80_263	29_551	109_814
1928	94	65_489	21_814	87_303
1927	95	51_604	15_240	66_844
1926	96	40_212	10_858	51_070
1925	97	29_496	7_310	36_806
1924	98	20_911	4_787	25_698
1923	99	15_028	3_284	18_312
1922	100 25_745	4_277	30_022
